time	XZ [min env]	FV [max env]	FV [min env]	XZ [max env]
16224.950000	8.705260	-98.362340	-1381.631400	157.811440
16274.950000	8.804970	-99.735640	-1381.593250	157.771550
16324.950000	8.775060	-98.629370	-1381.249930	157.801470
16374.950000	8.635450	-98.400490	-1383.576900	157.781520
16424.950000	8.765090	-99.506760	-1381.135490	157.851330
16474.950000	8.665370	-98.514930	-1381.364370	157.751610
16524.950000	5.992970	-99.926380	-1416.268980	157.631950
16574.950000	5.833420	-107.136180	-1417.298960	156.375520
16624.950000	5.953080	-107.822830	-1417.031930	156.515120
16674.950000	5.903220	-107.098030	-1415.467890	156.385490
16724.950000	5.933140	-107.059890	-1415.734920	156.325660
16774.950000	5.982990	-105.839180	-1416.459720	156.345610
16824.950000	6.082710	-105.305120	-1415.696780	156.375520
16874.950000	5.953080	-107.708390	-1416.230840	156.455290
16924.950000	5.992970	-105.610300	-1416.383420	156.395460
16974.950000	6.052800	-105.877330	-1414.514220	156.355580
17024.950000	6.032850	-106.792860	-1414.628660	156.335630
17074.950000	6.122600	-103.855530	-1415.162720	156.435350
17124.950000	6.012910	-105.877330	-1413.903860	156.335630
17174.950000	6.042820	-104.885500	-1413.751270	156.405440
17224.950000	5.933140	-105.534000	-1414.018300	156.515120
17274.950000	6.212340	-105.419560	-1413.179070	156.285780
17324.950000	5.943110	-106.716560	-1413.407950	156.305720
17374.950000	5.982990	-105.534000	-1412.301680	156.395460
17424.950000	5.992970	-106.144360	-1411.729480	156.465270
17474.950000	6.092680	-106.563970	-1412.873890	156.285780
17524.950000	6.162480	-104.084410	-1412.110950	156.395460
17574.950000	6.142540	-106.220650	-1413.560540	156.345610
17624.950000	6.022880	-105.534000	-1412.339830	156.335630
17674.950000	6.082710	-105.114380	-1412.568710	156.455290
17724.950000	6.391830	-105.228830	-1410.432470	156.505150
17774.950000	6.232290	-104.961800	-1413.674980	156.495180
17824.950000	6.112630	-106.182500	-1410.966530	156.305720
17874.950000	6.252230	-107.517650	-1412.225390	156.255860
17924.950000	6.282140	-104.961800	-1411.615030	156.455290
17974.950000	6.461630	-104.656620	-1410.279890	156.535070
18024.950000	6.341970	-106.182500	-1410.966530	156.335630
18074.950000	6.142540	-105.381410	-1410.966530	156.415410
18124.950000	6.341970	-105.305120	-1409.364350	156.395460
18174.950000	6.421750	-104.771060	-1409.478800	156.395460
18224.950000	6.401800	-99.811930	-1408.410680	157.502320
18274.950000	8.824920	-97.484960	-1380.486990	157.651890
18324.950000	8.705260	-97.179780	-1380.525130	157.801470
18374.950000	8.645430	-95.920930	-1380.830310	157.671840
18424.950000	8.675340	-97.599400	-1381.288080	157.751610
18474.950000	8.735170	-98.858260	-1380.715870	157.621980
18524.950000	8.745140	-97.027200	-1381.135490	157.651890
18574.950000	8.874770	-98.095310	-1380.715870	157.661860
18624.950000	8.675340	-98.171610	-1382.279900	157.592060
18674.950000	8.705260	-98.362340	-1378.427040	157.671840
18724.950000	8.804970	-97.713840	-1381.021050	157.821410
18774.950000	8.854830	-97.828280	-1378.274450	157.602030
18824.950000	9.024350	-97.790140	-1379.189980	157.701750
18874.950000	8.894720	-98.324200	-1378.579630	157.572120
18924.950000	8.814940	-97.408670	-1379.304430	157.681810
18974.950000	8.864800	-99.087140	-1378.999250	157.462430
19024.950000	8.854830	-97.980870	-1380.219960	157.552180
19074.950000	8.854830	-97.904580	-1380.219960	157.661860
19124.950000	9.014380	-98.629370	-1377.358920	157.602030
19174.950000	9.024350	-97.179780	-1379.228130	157.612010
19224.950000	9.064240	-99.087140	-1378.236310	157.512290
19274.950000	8.994430	-97.256080	-1378.350750	157.502320
19324.950000	9.024350	-98.247900	-1376.519690	157.482370
19374.950000	8.854830	-97.866430	-1378.541480	157.452460
19424.950000	8.954550	-99.087140	-1377.892980	157.542200
19474.950000	8.924630	-99.811930	-1378.579630	157.572120
19524.950000	8.974490	-97.866430	-1379.113690	157.452460
19574.950000	8.964520	-97.980870	-1376.710420	157.671840
19624.950000	8.994430	-96.645720	-1378.846660	157.562150
19674.950000	9.074210	-97.370520	-1378.694070	157.631950
19724.950000	8.984460	-97.828280	-1378.007420	157.542200
19774.950000	8.914660	-97.637550	-1377.587810	157.542200
19824.950000	8.934600	-97.561250	-1378.922950	157.592060
19874.950000	9.044290	-97.599400	-1378.579630	157.562150
19924.950000	9.203840	-97.599400	-1377.587810	157.502320
19974.950000	9.064240	-98.324200	-1377.702250	157.651890
20024.950000	9.004410	-97.980870	-1378.388890	157.402600
20074.950000	8.994430	-98.743820	-1376.595980	157.452460
20124.950000	8.914660	-96.989050	-1378.236310	157.432520
20174.950000	9.134040	-98.934550	-1377.358920	157.602030
20224.950000	9.104120	-97.675700	-1378.312600	157.641920
20274.950000	9.064240	-98.591230	-1378.694070	157.432520
20324.950000	9.014380	-95.920930	-1378.236310	157.621980
20374.950000	9.114090	-97.866430	-1379.571460	157.512290
20424.950000	9.094150	-95.692050	-1377.587810	157.572120
20474.950000	9.283610	-95.196130	-1376.023770	158.060730
20524.950000	9.433190	-94.089870	-1374.421590	158.010870
20574.950000	9.233750	-93.441370	-1374.192710	158.000900
20624.950000	9.293580	-94.814660	-1374.459740	158.030820
20674.950000	9.353410	-94.814660	-1376.634130	157.980960
20724.950000	9.313530	-95.920930	-1374.955650	157.941070
20774.950000	9.203840	-94.128010	-1377.587810	157.931100
20824.950000	9.403270	-94.967250	-1376.443390	157.961010
20874.950000	9.283610	-94.929100	-1376.863010	158.060730
20924.950000	9.303560	-94.204310	-1374.841210	157.961010
20974.950000	9.512960	-94.776520	-1376.481540	158.080670
21024.950000	9.094150	-95.653900	-1376.672270	157.990930
21074.950000	9.413240	-92.983600	-1376.023770	157.961010
21124.950000	9.423220	-95.157990	-1376.328950	157.980960
21174.950000	9.323500	-94.585780	-1377.664100	158.080670
